id,token,name,notes,created_at,updated_at,status,due_date,status_updated_at,assignee,section,project,tags,checklists,comments
154842324,sJ72UT4s,Deployment diagram,,2023-03-16T19:18:15+00:00,2023-03-24T10:32:03+00:00,1,2023-04-02T18:00:00+00:00,2023-03-16T19:18:15+00:00,Денис Карташов,В процессе,BoardGameMeet,,,
154458061,2VebG2iW,Составить диаграммы UML,,2023-03-12T14:46:13+00:00,2023-03-13T08:47:01+00:00,2,2023-03-19T18:00:00+00:00,2023-03-13T08:47:01+00:00,Денис Корчагин,Завершённые,BoardGameMeet,,Контрольный список: [x] Sequence [x] Use Case,
154458145,8xsl386s,Составить Readme,,2023-03-12T14:50:11+00:00,2023-03-20T17:12:55+00:00,2,2023-03-25T09:00:00+00:00,2023-03-20T17:12:55+00:00,,Завершённые,BoardGameMeet,вся команда,,
154458129,450Ht3gM,Начать Курсовую работу,,2023-03-12T14:49:17+00:00,2023-03-24T17:30:10+00:00,2,2023-03-24T18:00:00+00:00,2023-03-24T17:30:10+00:00,,Завершённые,BoardGameMeet,вся команда,Контрольный список: [x] Содержание [x] Введение [x] Постановка задачи [x] Обзор аналогов,
154842376,4u7IWRXM,Составить Object diagram,,2023-03-16T19:19:28+00:00,2023-03-24T15:50:51+00:00,2,2023-03-24T18:00:00+00:00,2023-03-24T15:50:51+00:00,Vadim Egorov,Завершённые,BoardGameMeet,,,
154458487,fCVGtI35,Idef0,,2023-03-12T15:00:31+00:00,2023-03-22T19:09:26+00:00,2,2023-03-25T18:00:00+00:00,2023-03-22T19:09:26+00:00,,Завершённые,BoardGameMeet,вся команда,,
154458475,wka0xnUR,Диаграмма класса,,2023-03-12T14:59:49+00:00,2023-03-21T14:44:04+00:00,2,2023-03-25T09:00:00+00:00,2023-03-21T14:44:04+00:00,Vadim Egorov,Завершённые,BoardGameMeet,,,
154842428,t0klx0kw,Составить Collaboration diagram,,2023-03-16T19:20:35+00:00,2023-03-16T20:11:26+00:00,2,2023-03-22T18:00:00+00:00,2023-03-16T20:11:22+00:00,Денис Корчагин,Завершённые,BoardGameMeet,,,
155057764,x7COxRoB,Создать иконку приложения,,2023-03-20T16:26:40+00:00,2023-03-20T17:55:30+00:00,2,2023-03-25T18:00:00+00:00,2023-03-20T17:53:43+00:00,Денис Корчагин,Завершённые,BoardGameMeet,,,
154457999,3FAw5vTK,Составить UserStory приложения,,2023-03-12T14:43:36+00:00,2023-03-19T22:25:52+00:00,2,2023-03-25T17:00:00+00:00,2023-03-19T22:25:52+00:00,,Завершённые,BoardGameMeet,вся команда,Контрольный список: ,
154458473,4OWq653x,Activity,,2023-03-12T14:59:46+00:00,2023-03-20T16:34:21+00:00,2,2023-03-25T09:00:00+00:00,2023-03-20T16:34:21+00:00,Иван Корольков,Завершённые,BoardGameMeet,,,
154842369,b13cZge2,Составить Statechart diagram,,2023-03-16T19:19:18+00:00,2023-03-22T19:44:48+00:00,2,2023-03-25T18:00:00+00:00,2023-03-22T19:44:48+00:00,Денис Карташов,Завершённые,BoardGameMeet,,,
155057743,uzD4A2Dq,Создать логотип приложения,,2023-03-20T16:26:18+00:00,2023-03-20T17:12:16+00:00,2,2023-03-25T18:00:00+00:00,2023-03-20T17:12:10+00:00,Денис Корчагин,Завершённые,BoardGameMeet,,,
154458124,fb7jCvLx,Составить Техническое Задание,,2023-03-12T14:48:57+00:00,2023-03-24T17:44:35+00:00,2,2023-03-24T18:00:00+00:00,2023-03-24T17:44:35+00:00,,Завершённые,BoardGameMeet,вся команда,"Контрольный список: [x] Термины, используемые в техническом задании [x] Общие положения [x] Назначение и цели создания приложения [x] Требования к системе [x] Структура приложения [x] Языковые версии приложения [x] Группы пользователей [x] Дизайн приложения [x] Навигация по приложению [x] Описания экранов приложения [x] Функционал приложения [x] Контент и наполнение приложения [x] Дополнительная информация [x] Порядок контроля и приемки работ [x] Реквизиты и подписи сторон",
